237,/p49/m237,חכם ומשתמר,שמואל הנגיד,,https://wikidata.org/wiki/Q467161,,,Translation missing: he.poetry,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
239,/p100/m239,מענה רך ולשון רכה,יוסף יושעה ריבלין,,https://wikidata.org/wiki/Q12408033,,,Translation missing: he.article,
240,/p161/m240,[מה יפית יפת העין],יהודה הלוי,,https://wikidata.org/wiki/Q299200,,,Translation missing: he.poetry,
244,/p180/m244,[שש נגזרו],שלמה אבן גבירול,,https://wikidata.org/wiki/Q239355,,,Translation missing: he.poetry,
259,/p20/m259,[אֶת פְּלִיאוֹת שֵׁם מְחוֹלֵל],אברהם אבן עזרא,,https://wikidata.org/wiki/Q270670,,,Translation missing: he.poetry,
262,/p170/m262,[חפצי שללו ימים],משה אבן עזרא,,https://wikidata.org/wiki/Q719393,,,Translation missing: he.poetry,
267,/p100/m267,"""בית יעקב"" ו""מאה שערים""",יוסף יושעה ריבלין,,https://wikidata.org/wiki/Q12408033,,,Translation missing: he.article,
269,/p170/m269,אם רב עוני,משה אבן עזרא,,https://wikidata.org/wiki/Q719393,,,Translation missing: he.poetry,
270,/p170/m270,[אֶרְאֶה יְמֵי הַקֹּר וְהַחֹם],משה אבן עזרא,,https://wikidata.org/wiki/Q719393,,,Translation missing: he.poetry,
276,/p20/m276,[ארוממך כי נשגב],אברהם אבן עזרא,,https://wikidata.org/wiki/Q270670,,,Translation missing: he.poetry,
278,/p170/m278,באו שתו עמי במל קורה,משה אבן עזרא,,https://wikidata.org/wiki/Q719393,,,Translation missing: he.poetry,
285,/p146/m285,שור קוני דלות גברת,שלום שבזי,,,,,Translation missing: he.poetry,
286,/p167/m286,קינה על מות ר' מנחם רפאל קראקוביא מויניציאה,משה חיים לוצטו,,https://wikidata.org/wiki/Q982845,,,Translation missing: he.poetry,
287,/p180/m287,[הנשית מידעי],שלמה אבן גבירול,,https://wikidata.org/wiki/Q239355,,,Translation missing: he.poetry,
307,/p49/m307,חשב אשר,שמואל הנגיד,,https://wikidata.org/wiki/Q467161,,,Translation missing: he.poetry,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
308,/p49/m308,חֲשוּךְ חֶבְרָה,שמואל הנגיד,,https://wikidata.org/wiki/Q467161,,,Translation missing: he.poetry,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
309,/p49/m309,זָרַע בְּלִי,שמואל הנגיד,,https://wikidata.org/wiki/Q467161,,,Translation missing: he.poetry,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
310,/p49/m310,[חוּס עַל],שמואל הנגיד,,https://wikidata.org/wiki/Q467161,,,Translation missing: he.poetry,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
314,/p161/m314,[שובי נפשי למנוחיכי],יהודה הלוי,,https://wikidata.org/wiki/Q299200,,,Translation missing: he.poetry,
316,/p180/m316,[לכה רעי],שלמה אבן גבירול,,https://wikidata.org/wiki/Q239355,,,Translation missing: he.poetry,
318,/p203/m318,מעשה יונה הנביא – רהיט ליום הכיפורים,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
319,/p204/m319,[תלונה על הזמן -- אל משה אבן-עזרא],יוסף אבן סהל,,https://wikidata.org/wiki/Q25489583,,,Translation missing: he.poetry,
320,/p202/m320,קדושה,יוסף אבן אביתור,,https://wikidata.org/wiki/Q551536,,,Translation missing: he.poetry,השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
321,/p197/m321,תשובה על הזמנה למשתה יין,דונש בן לברט,,https://wikidata.org/wiki/Q720129,,,Translation missing: he.poetry,מוסד ביאליק ודביר 
322,/p202/m322,פזמון,יוסף אבן אביתור,,https://wikidata.org/wiki/Q551536,,,Translation missing: he.poetry,השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
323,/p201/m323,[תאווה לנה],יוסף אבן צדיק,,https://wikidata.org/wiki/Q958426,,,Translation missing: he.poetry,
324,/p201/m324,מוחרך,יוסף אבן צדיק,,https://wikidata.org/wiki/Q958426,,,Translation missing: he.poetry,
325,/p201/m325,רשות,יוסף אבן צדיק,,https://wikidata.org/wiki/Q958426,,,Translation missing: he.poetry,
327,/p197/m327,זמר לשבת,דונש בן לברט,,https://wikidata.org/wiki/Q720129,,,Translation missing: he.poetry,
328,/p201/m328,[דברי ברכה ליהודה הלוי],יוסף אבן צדיק,,https://wikidata.org/wiki/Q958426,,,Translation missing: he.poetry,
329,/p202/m329,קינה על הפרעות בארץ-ישראל,יוסף אבן אביתור,,https://wikidata.org/wiki/Q551536,,,Translation missing: he.poetry,השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
331,/p208/m331,בקשה,יצחק אבן מר שאול,,,,,Translation missing: he.poetry,
333,/p203/m333,מאורה,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
334,/p203/m334,גמר לשמע ישראל,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
335,/p203/m335,תוכחה,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
336,/p203/m336,רשות לקדיש,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
337,/p203/m337,מחרך,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
338,/p206/m338,שיר-פולמוס,יצחק אבן עזרא,,https://wikidata.org/wiki/Q16340145,,,Translation missing: he.poetry,
339,/p203/m339,אהבה [בעלת אוב וקסם],יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
340,/p206/m340,המשורר מודה שהמיר את דתו,יצחק אבן עזרא,,https://wikidata.org/wiki/Q16340145,,,Translation missing: he.poetry,
341,/p203/m341,סילוק (קטע),יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
342,/p203/m342,גאולה,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
343,/p203/m343,אהבה [יושב במעמק מצולה],יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
344,/p203/m344,אופן,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
345,/p203/m345,סליחה,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
346,/p206/m346,שיר יין –  לכבוד השר יצחק,יצחק אבן עזרא,,https://wikidata.org/wiki/Q16340145,,,Translation missing: he.poetry,
347,/p203/m347,רשות (?),יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
348,/p203/m348,אהבה [שדי שובבה חולת אהבה],יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
349,/p203/m349,קינה לתשעה באב,יצחק אבן גיאת,,https://wikidata.org/wiki/Q2909247,,,Translation missing: he.poetry,
350,/p201/m350,[אין די לחילי],יוסף אבן צדיק,,https://wikidata.org/wiki/Q958426,,,Translation missing: he.poetry,
351,/p200/m351,"מכתמים מתוך ""שקל הקודש""",יוסף קמחי,,https://wikidata.org/wiki/Q1371519,,,Translation missing: he.poetry,
352,/p197/m352,שיר תהילה לחסדאי אבן-שפרוט,דונש בן לברט,,https://wikidata.org/wiki/Q720129,,,Translation missing: he.poetry,מוסד ביאליק ודביר 
353,/p201/m353,[המנגן],יוסף אבן צדיק,,https://wikidata.org/wiki/Q958426,,,Translation missing: he.poetry,
354,/p202/m354,סליחה,יוסף אבן אביתור,,https://wikidata.org/wiki/Q551536,,,Translation missing: he.poetry, השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
364,/p205/m364,מוחרך,אבון,,https://wikidata.org/wiki/Q30527820,,,Translation missing: he.poetry,
422,/p20/m422,אמור מה שם צבי,אברהם אבן עזרא,,https://wikidata.org/wiki/Q270670,,,Translation missing: he.poetry,
423,/p20/m423,בָּאתִי בְיוֹם צוֹם,אברהם אבן עזרא,,https://wikidata.org/wiki/Q270670,,,Translation missing: he.poetry,
424,/p170/m424,[כֹּחַ לֹא עָצַרְתִּי],משה אבן עזרא,,https://wikidata.org/wiki/Q719393,,,Translation missing: he.poetry,
426,/p170/m426,תם אהל צדק,משה אבן עזרא,,https://wikidata.org/wiki/Q719393,,,Translation missing: he.poetry,
